epoch,loss,epoch_time,avg_batch_time,samples_per_second,communication_overhead_percent,gpu_memory_gb,system_metrics
0,9.201873302459717,5.214958429336548,0.1977705764770508,2396.9510341025407,2.8065202059243077,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 2.8, 'memory_percent': 4.4, 'memory_used_gb': 8.621448516845703}"
1,7.588875331878662,3.729315757751465,0.14594112396240233,3351.8213023443977,2.125110000078273,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.62387466430664}"
2,5.81352689743042,3.729879140853882,0.14633581161499024,3351.315023343725,1.4323374116701535,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.624244689941406}"
3,4.343188199996948,3.7289535999298096,0.14619606018066406,3352.146832890409,1.7097687855057953,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.62435531616211}"
4,3.294717130661011,3.730912923812866,0.1464625644683838,3350.3864215692884,2.7217431034370065,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.623245239257812}"
5,2.7318846130371095,3.72538161277771,0.14603609085083008,3355.3609533923104,4.161273331447459,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 8.62197494506836}"
6,2.33064603805542,3.7271220684051514,0.14608644485473632,3353.7940991958963,4.0568537606479556,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 8.62350845336914}"
7,2.033714761734009,3.7197492122650146,0.14587045669555665,3360.441601488653,3.5494689783202844,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.621936798095703}"
8,1.8188138580322266,3.718876600265503,0.14585407257080077,3361.2301088741647,2.402309119699317,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.621360778808594}"
9,1.5593592500686646,3.720184087753296,0.14580952644348144,3360.0487785401597,2.9474207592991046,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 8.62411880493164}"
10,1.2723540163040161,3.7289328575134277,0.14609732627868652,3352.165479411555,2.871926282916656,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.5, 'memory_percent': 4.4, 'memory_used_gb': 8.623912811279297}"
11,1.0544682669639587,3.7277519702911377,0.14616934776306154,3353.227387342444,1.8885488731937043,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.624908447265625}"
12,0.7979079270362854,3.821110248565674,0.14986732482910156,3271.3005348882857,3.449009547880815,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.639972686767578}"
13,0.6227338075637817,3.7213294506073,0.14563874244689942,3359.0146118237585,2.9417526124075555,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.5, 'memory_used_gb': 8.640121459960938}"
14,0.46349066257476806,3.723662853240967,0.14592188835144043,3356.909713004862,3.1561874461680235,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.640968322753906}"
15,0.3399171656370163,3.7232511043548584,0.1460540771484375,3357.2809487330887,2.346010808931251,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.640491485595703}"
16,0.25586655795574187,3.7272515296936035,0.14628658294677735,3353.6776094710076,4.151098209263357,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.640495300292969}"
17,0.19929101288318635,3.736231565475464,0.1465800952911377,3345.6170424515108,4.517151032691103,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.639617919921875}"
18,0.1750402706861496,3.7306387424468994,0.14624796867370604,3350.632656487489,3.4936531774105006,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.640754699707031}"
19,0.15588068425655366,3.727449417114258,0.14626524925231935,3353.4995653079404,3.1617605293611444,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.640300750732422}"
20,0.13784743160009383,3.7265608310699463,0.14611364364624024,3354.2991961333637,4.1691386396542125,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 8.63796615600586}"
21,0.12801224291324614,3.727757453918457,0.14611138343811036,3353.2224546585085,4.531357819503453,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.639205932617188}"
22,0.11894754320383072,3.7301268577575684,0.14619571685791016,3351.092463250592,2.8369862626740594,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.640129089355469}"
23,0.11713916838169097,3.7285354137420654,0.1462486457824707,3352.522803975366,3.2811036734686825,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 8.63956069946289}"
24,0.11374301046133041,3.731036424636841,0.14614242553710938,3350.2755206193633,2.19838804751682,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.5, 'memory_used_gb': 8.640369415283203}"
25,0.11051433265209198,3.7256312370300293,0.14600643157958984,3355.1361379406558,2.876120734807515,"{'allocated': 0.0361790657043457, 'reserved': 0.07421875, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 8.64169692993164}"
