epoch,loss,epoch_time,avg_batch_time,samples_per_second,communication_overhead_percent,gpu_memory_gb,system_metrics
0,8.391691811230718,7.894699811935425,0.15724286741139937,3166.681519948904,5.133686932207103,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.0, 'memory_percent': 4.4, 'memory_used_gb': 8.574897766113281}"
1,4.803269464142469,7.243367671966553,0.14604252211901605,3451.433246548504,3.761617833035156,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.578449249267578}"
2,2.8552556427157656,7.235721111297607,0.14590874983339894,3455.080649939072,5.4506463626611685,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.578479766845703}"
3,2.0707097369797376,7.240647554397583,0.14607976407420878,3452.7298576791427,3.966134787681661,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.57669448852539}"
4,1.5798450562418724,7.240464210510254,0.14606014563112843,3452.81728811117,4.913727477298691,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.581573486328125}"
5,1.0448005880628313,7.23357081413269,0.14593588089456364,3456.1077291392376,4.505051687356373,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 8.580707550048828}"
6,0.5949862252692787,7.233133554458618,0.14594710116483728,3456.3166588552212,4.490060305096829,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.580284118652344}"
7,0.32576432824134827,7.363799333572388,0.1485185379884681,3394.9865915034097,4.225514160496419,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 8.578750610351562}"
8,0.1831602314297034,7.250307083129883,0.14626686913626535,3448.1298120696647,4.794689467624249,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.577346801757812}"
9,0.14292336483390963,7.244109630584717,0.14610179589719188,3451.079742698772,4.6643048043736925,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.577983856201172}"
10,0.1280657347975945,7.2474775314331055,0.14620889449606136,3449.476026875869,5.100761677554728,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.576011657714844}"
11,0.1168550430816047,7.245953321456909,0.1461541458052032,3450.201635438271,5.174830854961674,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.577564239501953}"
12,0.10755444774214103,7.234130859375,0.14600259917122976,3455.840167392258,3.991463969614399,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.576507568359375}"
13,0.104175223835877,7.230768203735352,0.14577997460657235,3457.4472995946985,4.568598226032333,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.577991485595703}"
14,0.10160145361204537,7.227273941040039,0.14580604008265904,3459.1189159217593,3.959256122587084,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.576953887939453}"
15,0.0955556538336131,7.244776010513306,0.14601890894831443,3450.7623097968913,4.0232213138752515,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.576148986816406}"
16,0.09392161500089023,7.250155925750732,0.14623275581671266,3448.2017015946208,4.2596566154002655,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.577350616455078}"
17,0.089132657768775,7.247959613800049,0.1459752150944301,3449.2465924341286,5.584413049645119,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.578620910644531}"
18,0.08905013316139883,7.22779655456543,0.14575260026114328,3458.8688006455823,4.019049707049494,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.579029083251953}"
19,0.08305585384368896,7.2340967655181885,0.14590810269725565,3455.8564545561776,4.080935093934965,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.578853607177734}"
20,0.07999849304252742,7.246263265609741,0.14608642033168248,3450.0540600902887,4.463479509878974,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.577152252197266}"
21,0.07829302724222748,7.235182046890259,0.14583954519155073,3455.338074146345,4.544860380228991,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.578254699707031}"
22,0.07894742116332054,7.236880779266357,0.14584434762292978,3454.5269934009316,4.402010755730763,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.578865051269531}"
23,0.07506382533786249,7.236184358596802,0.14584981665319327,3454.8594619896962,4.864798911498745,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.578350067138672}"
24,0.07143361805653085,7.231639385223389,0.14589829834140078,3457.030787663887,4.724676090755154,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.576118469238281}"
25,0.07154638297399696,7.542202949523926,0.1505571579446598,3314.6814222995727,2.94200422642077,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.4, 'memory_percent': 4.4, 'memory_used_gb': 8.576881408691406}"
26,0.069330986741246,7.230038404464722,0.14578899072141063,3457.7962939397253,4.315244264325752,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.4, 'memory_used_gb': 8.576831817626953}"
27,0.06520884172344694,7.232193946838379,0.14580861889586158,3456.7657039851624,4.3682993104128,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.576705932617188}"
28,0.06284473767998267,7.234940767288208,0.14586468618743273,3455.4533069619683,4.648710751910219,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.577327728271484}"
29,0.06350838887144108,7.227108001708984,0.14579578321807238,3459.198339652359,4.199710691957947,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.4, 'memory_used_gb': 8.57427978515625}"
