epoch,loss,epoch_time,avg_batch_time,samples_per_second,communication_overhead_percent,gpu_memory_gb,system_metrics
0,8.132353266891169,7.983725070953369,0.15943966593061173,3131.3703537908336,6.5113469072430075,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 3.9, 'memory_percent': 4.5, 'memory_used_gb': 9.262989044189453}"
1,4.442728791918073,7.321830987930298,0.14727155529722877,3414.4464740051158,6.986145787695019,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 3.9, 'memory_percent': 4.5, 'memory_used_gb': 9.263465881347656}"
2,2.581832525681476,7.322528839111328,0.1472790289898308,3414.121070642862,6.766377549264624,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.0, 'memory_percent': 4.5, 'memory_used_gb': 9.257911682128906}"
3,1.9172670281663233,7.257551431655884,0.14629677850372938,3444.687955080188,5.680183701377334,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 9.259193420410156}"
4,1.3534403844755523,7.24591326713562,0.1462810331461381,3450.220707635208,3.532993303907625,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.0, 'memory_percent': 4.5, 'memory_used_gb': 9.256885528564453}"
5,0.8096962899577861,7.2676379680633545,0.14665101985542142,3439.9071761498158,6.1449266857818206,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 9.254627227783203}"
6,0.4069512930451607,7.290104627609253,0.14675573913418516,3429.306063087136,6.115916776562383,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 9.259723663330078}"
7,0.21465261797515714,7.4484639167785645,0.14973177228655135,3356.396738887931,5.599405913015879,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.5, 'memory_percent': 4.5, 'memory_used_gb': 9.259391784667969}"
8,0.15026757987786313,7.27805233001709,0.1465424712823362,3434.9849199203677,5.720261633561647,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 9.258060455322266}"
9,0.12530955733085164,7.2743024826049805,0.146404217700569,3436.755628430689,6.262333738988159,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 9.26223373413086}"
10,0.11184823528236272,7.28124213218689,0.14652583063865193,3433.480104924262,7.129737561219966,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 9.270641326904297}"
11,0.1085985718028886,7.2719886302948,0.146426400359796,3437.849159424019,6.712031377147295,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 9.257904052734375}"
12,0.10107279705757997,7.254785537719727,0.1463297143274424,3446.001245662987,5.453446836660447,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.2, 'memory_percent': 4.5, 'memory_used_gb': 9.25583267211914}"
13,0.09831204660692994,7.257256507873535,0.1461992069166534,3444.8279419195155,5.96621343463313,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 9.257564544677734}"
14,0.09384340580020632,7.2937538623809814,0.1467726571219308,3427.5903014691216,6.664319796884939,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.6, 'memory_percent': 4.5, 'memory_used_gb': 9.265239715576172}"
15,0.09109255078495765,7.287904262542725,0.1465073556316142,3430.3414396497005,5.538617641156874,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.6, 'memory_percent': 4.5, 'memory_used_gb': 9.26519775390625}"
16,0.08795342533564081,7.2749950885772705,0.14669920473682638,3436.428436804499,4.389718187449576,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.6, 'memory_percent': 4.5, 'memory_used_gb': 9.264408111572266}"
17,0.08492891095122512,7.279046058654785,0.1466561288249736,3434.5159789551,6.649372892066374,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.3, 'memory_percent': 4.5, 'memory_used_gb': 9.265098571777344}"
18,0.08183837666803477,7.28618311882019,0.1465446170495481,3431.1517556325302,6.231151381651745,"{'allocated': 0.036638736724853516, 'reserved': 0.06640625, 'max_allocated': 0.05955028533935547}","{'cpu_percent': 4.0, 'memory_percent': 4.5, 'memory_used_gb': 9.258609771728516}"
